ÊMidnight Sun Esports,Premier,Taiwan,Taiwan
ÊMight Makes Right,Major,CIS,Europe
ÊMillenium,Major,Europe,Europe
ÊMineski,Major,Southeast Asia,Asia & Oceana
ÊMKZ,Minor,Korea,Korea
ÊMoscow Meteors,Major,CIS,Europe
Êmousesports,Major,Europe,Europe
ÊMVP,Major,Korea,Korea
ÊNatus Vincere.CIS,Premier,CIS,Europe
ÊNewbee Young,Major,China,China
ÊNocturns Gaming,Minor,Latin America South,Americas
ÊNRG eSports,Premier,North America,Americas
ÊNumberOne Esports,Premier,Turkey,Europe
ÊOh My Dream,Major,China,China
ÊOh My God,Premier,China,China
ÊOpenMidPlease,Major,Taiwan,Taiwan
ÊOperation Kino e-Sports,Premier,Brazil,Americas
ÊOrigen,Premier,Europe,Europe
ÊOverGaming,Minor,Europe,Europe
ÊOverload,Major,Brazil,Americas
ÊOwnerd e-Sports,Minor,Brazil,Americas
ÊPacific eSports,Minor,Southeast Asia,Asia & Oceana
ÊpaiN Gaming,Premier,Brazil,Americas
ÊPathos,Major,Korea,Korea
ÊPENTA Sports,Minor,Europe,Europe
ÊPlanetkey Dynamics,Minor,Europe,Europe
ÊQiao Gu Reapers,Premier,China,China
ÊRampage,Premier,Japan,Asia & Oceana
ÊRascal Jester,Major,Japan,Asia & Oceana
ÊRebirth eSports,Premier,Latin America South,Americas
ÊRED Canids,Premier,Brazil,Americas
ÊRemo Brave e-Sports,Major,Brazil,Americas
ÊRenegades,Premier,North America,Americas
ÊRenegades: Banditos,Minor,Europe,Europe
ÊRevenge eSports,Premier,Latin America North,Americas
ÊRevenger,Major,China,China
ÊRobot E-Sports Team,Major,Brazil,Americas
ÊRoX,Premier,CIS,Europe
ÊROX Tigers,Premier,Korea,Korea
ÊRoyal Never Give Up,Premier,China,China
ÊRUDE GAME,Minor,Brazil,Americas
ÊSaigon Jokers,Premier,Southeast Asia,Asia & Oceana
ÊSamsung Galaxy,Premier,Korea,Korea
ÊSBENU Sonicboom,Premier,Korea,Korea
ÊSeven Wars e-Sports,Minor,Brazil,Americas
ÊSin Gaming,Major,Oceania,Asia & Oceana
ÊSK Gaming,Major,Europe,Europe
ÊSK Telecom T1,Premier,Korea,Korea
ÊSnake eSports,Premier,China,China
ÊSplyce,Premier,Europe,Europe
ÊSpy Dolphins,Minor,Latin America South,Americas
ÊSQUARE,Major,Korea,Korea
ÊSTAR,Major,CIS,Europe
ÊStar Horn Royal Club,Major,China,China
ÊStardust,Major,Korea,Korea
ÊSuperMassive,Premier,Turkey,Europe
ÊTaipei Assassins,Premier,Taiwan,Taiwan
ÊTaipei Berserkers,Major,Taiwan,Taiwan
ÊTeam AURORA,Premier,Turkey,Europe
ÊTeam BlackEye,Major,Japan,Asia & Oceana
ÊTeam Differential,Premier,CIS,Europe
ÊTeam Dignitas,Premier,North America,Americas
ÊTeam Dragon Knights,Major,North America,Americas
ÊTeam Empire,Premier,CIS,Europe
ÊTeam Impulse,Premier,North America,Americas
ÊTeam Infinite,Minor,Southeast Asia,Asia & Oceana
ÊTeam Just,Premier,CIS,Europe
ÊTeam Just Alpha,Major,CIS,Europe
ÊTeam Liquid,Premier,North America,Americas
ÊTeam Liquid Academy,Major,North America,Americas
ÊTeam ROCCAT,Premier,Europe,Europe
ÊTeam SoloMid,Premier,North America,Americas
ÊTeam Turquality,Premier,Turkey,Europe
ÊTeam United,Minor,Brazil,Americas
ÊTeam Vitality,Premier,Europe,Europe
ÊTeam WE,Premier,China,China
ÊTeam WE Future,Major,China,China
ÊTEAM4NOT.OCE,Minor,Oceania,Asia & Oceana
ÊTesla E-Sports,Premier,Latin America North,Americas
ÊThe Chiefs eSports Club,Premier,Oceania,Asia & Oceana
ÊTricked eSports,Minor,Europe,Europe
ÊTrident Esports,Major,Oceania,Asia & Oceana
ÊUnicorns Of Love,Premier,Europe,Europe
ÊUnlimited Potential,Major,China,China
ÊUnsold Stuff Gaming,Major,Japan,Asia & Oceana
ÊVaevictis eSports,Premier,CIS,Europe
ÊVega Squadron,Premier,CIS,Europe
ÊVestigial,Major,Southeast Asia,Asia & Oceana
ÊVici Gaming,Premier,China,China
ÊWan Yoo,Major,China,China
ÊwannaBeWithYou,Major,Taiwan,Taiwan
ÊWaY,Major,Korea,Korea
ÊWild Fire e-Sports Club,Major,Turkey,Europe
ÊWings of Liberty,Major,Taiwan,Taiwan
ÊWinterfox,Minor,North America,Americas
ÊYoung Boss,Minor,Korea,Korea
ÊYoung Glory,Major,China,China
ÊYoung Miracles,Major,China,China
ÊZenith eSports,Minor,North America,Americas
ÊZONE eSports,Major,Turkey,Europe
ÊZOTAC United,Premier,Southeast Asia,Asia & Oceana
ÊZTR Gaming,Major,China,China
Coliseo Dragons,Minor,Latin America South,Americas
DnH Advance,Major,Latin America North,Americas
eXeAt eSports Club,Minor,Latin America South,Americas
Red Arrows Team,Major,Latin America North,Americas
ShowTime,Minor,China,China
T.Bear Gaming,Minor,China,China
Vivaelro,Minor,Latin America South,Americas
